file_name,trackName,Key,Bpm
spotify-track-0NLCproVurQVarImbC5coP_fade_in.mp3,spotify-track-0NLCproVurQVarImbC5coP,,93.93
spotify-track-1jkB8ZDmxAnyoINUP3ly7H_fade_in.mp3,spotify-track-1jkB8ZDmxAnyoINUP3ly7H,,
spotify-track-0m7gPCedkIXKxWzdjjAirb_fade_in.mp3,spotify-track-0m7gPCedkIXKxWzdjjAirb,,
spotify-track-0PTEI0crqAI5I2F61FeJ6U_drums_looped_segment.wav,spotify-track-0PTEI0crqAI5I2F61FeJ6U,,86.0
spotify-track-0k5Nh4iu6jb91GyvqUZJC1_vocals_looped_segment.wav,spotify-track-0k5Nh4iu6jb91GyvqUZJC1,,86.0
spotify-track-2PyNlUtZwWCuke7i4c6I8X_fade_out.mp3,spotify-track-2PyNlUtZwWCuke7i4c6I8X,,89.06
spotify-track-0XZo5RtHQbNIuQqMm7ZXuz_looped_segment.wav,spotify-track-0XZo5RtHQbNIuQqMm7ZXuz,,88.16
spotify-track-2PyNlUtZwWCuke7i4c6I8X_fade_in.mp3,spotify-track-2PyNlUtZwWCuke7i4c6I8X,,89.06
spotify-track-1gS12Y7zd3sWjVEVXi07EN_looped_segment.wav,spotify-track-1gS12Y7zd3sWjVEVXi07EN,,
spotify-track-2mnaWh59yEAs00Jh63oBxO_fade_in.mp3,spotify-track-2mnaWh59yEAs00Jh63oBxO,,90.0
spotify-track-0O8zNbJNEDg9x3S0hZvRMu_looped_segment.wav,spotify-track-0O8zNbJNEDg9x3S0hZvRMu,,83.96
spotify-track-2Adg6787i6N1YIqGzWOchz_looped_segment.wav,spotify-track-2Adg6787i6N1YIqGzWOchz,,92.75
spotify-track-0N5qTofETElfJvRvpF3Mk6_fade_out.mp3,spotify-track-0N5qTofETElfJvRvpF3Mk6,,88.0
spotify-track-0PTEI0crqAI5I2F61FeJ6U_bass_looped_segment.wav,spotify-track-0PTEI0crqAI5I2F61FeJ6U,,86.0
spotify-track-0m7gPCedkIXKxWzdjjAirb_looped_segment.wav,spotify-track-0m7gPCedkIXKxWzdjjAirb,,
spotify-track-0lCVzecQJrzrig2sJkTj6g_other_looped_segment.wav,spotify-track-0lCVzecQJrzrig2sJkTj6g,,91.99
spotify-track-2Adg6787i6N1YIqGzWOchz_fade_out.mp3,spotify-track-2Adg6787i6N1YIqGzWOchz,,92.75
spotify-track-2VXO4kj9yCrGx5EN7OnTZl_fade_in.mp3,spotify-track-2VXO4kj9yCrGx5EN7OnTZl,,85.99
spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8_drums_looped_segment.wav,spotify-track-0e3fQp0Nb8Z5wjhI3mb2V8,,82.84
spotify-track-0k5Nh4iu6jb91GyvqUZJC1_fade_out.mp3,spotify-track-0k5Nh4iu6jb91GyvqUZJC1,,86.0
