TrackID,Name,Inizio,Bpm,Metro,Battito
60781785,spotify-track-2PyNlUtZwWCuke7i4c6I8X,0.028,89.06,4/4,1
160599972,spotify-track-2QAwnJ1GBB9MVrKUzd88q0,0.318,108.0,4/4,1
151400035,spotify-track-2sAFBZ8a7uTT7tsAsjoUzo,0.027,179.71,4/4,4
260712064,spotify-track-2SnGl1Pd8STWuzdm7feYYe,0.108,136.95,4/4,1
91311195,spotify-track-2UEtDgTf1dJ1IykJTkpvba,0.505,102.06,4/4,1
146397539,spotify-track-2VXO4kj9yCrGx5EN7OnTZl,0.412,85.99,4/4,1
200765488,spotify-track-2WknzqOaxAME598m4BTfl0,0.07,95.05,4/4,1
200765488,spotify-track-2WknzqOaxAME598m4BTfl0,1.333,95.05,4/4,3
27449186,spotify-track-2Xaawp3z3fhFbRuyZjt6J9,0.221,169.19,4/4,1
204270867,spotify-track-2yNzGnCEoATsZfnRuz1ucq,0.348,95.86,4/4,1
